ASDM_UID FOV FREQUENCY_RESOLUTION
uid://A002/X307fb7/Xa8b 18.26115671529038 31250.0
uid://A002/X3ddbb0/Xc2 18.423740773873146 31250.0
uid://A002/X3ddbb0/X195 18.62992541775776 976.5625
uid://A002/X30a93d/X772 19.009762638462625 976.5625
uid://A002/X30a93d/X603 19.009762638462625 976.5625
uid://A002/X30a93d/Xa32 19.009762638462625 976.5625
uid://A002/X307fb7/X60f 18.475073313782993 976.5625
uid://A002/X369097/X1e9 60.8661896432024 976.5625
uid://A002/X40e374/X6cb 9.084942669519757 31250.0
uid://A002/X45f1dd/X7a 28.506787330332866 976.5625
uid://A002/X41f8d2/X9e9 23.96095778717057 31250.0
uid://A002/X3e007f/X3ab 26.876990350456545 976.5625
uid://A002/X3e17df/X3fd 22.268350698316922 976.5625
uid://A002/X3e33cb/X2fd 67.70546189633326 976.5625
uid://A002/X3e3a61/X28d 61.992619926229764 976.5625
uid://A002/X45c06b/Xabf 18.367634769786847 31250.0
uid://A002/X47d651/X2fc 66.91861169908184 976.5625
uid://A002/X44c3c1/X85c 25.184889066560064 31250.0
uid://A002/X47d651/X4ba 18.743803457567335 244.140625
uid://A002/X47d651/Xa81 18.219732841165328 976.5625
uid://A002/X47bd4d/Xbd4 18.196851590847114 976.5625
uid://A002/X44a295/Xaf5 18.367634769786847 31250.0
uid://A002/X2b8998/X2bf 17.951914514695343 976.5625
uid://A002/X31d189/X81d 18.26115671529038 31250.0
uid://A002/X36d011/X393 63.2927288710603 976.5625
uid://A002/X36d011/X63b 25.49757815503491 976.5625
uid://A002/X35edea/X77d 27.9883110627152 488.28125
uid://A002/X35edea/Xac 28.184667349702355 244.140625
uid://A002/X35edea/X970 58.53658536588086 976.5625
uid://A002/X2c1301/Xa2 63.55026906982177 61.03515625
uid://A002/X31ab3d/X121 18.26115671529038 31250.0
uid://A002/X2c54bd/X52b 64.70713601594055 61.03515625
uid://A002/X369097/X9f0 58.514879358600076 30.517578125
uid://A002/X369097/Xbfe 58.514879358600076 30.517578125
uid://A002/X369097/X85 58.43351570235332 976.5625
uid://A002/X3c7a84/X31f 67.82725218085868 488.28125
uid://A002/X435875/X9d 27.22558340534398 976.5625
uid://A002/X383b50/X1e1 23.708794538150222 976.5625
uid://A002/X41ac1f/X4b0 18.743797131538678 244.140625
uid://A002/X47bd4d/X37c 65.12506001455183 31250.0
uid://A002/X47aefc/X109 58.710135526756424 976.5625
uid://A002/X41b513/X24e 18.401374728734893 976.5625
uid://A002/X41b513/X121 18.16925124746592 976.5625
uid://A002/X4785e0/X61 18.629485920877208 244.140625
uid://A002/X3fdb4f/X78c 58.710135526756424 976.5625
uid://A002/X4785e0/X7e1 19.43519817890642 976.5625
uid://A002/X4785e0/X3cc 18.743797131538678 244.140625
uid://A002/X32041d/X589 68.45035990768352 976.5625
uid://A002/X47701c/X166 18.16925124746592 976.5625
uid://A002/X4b29af/X6ba 24.061827438508487 976.5625
uid://A002/X3da7b0/X1a5 58.56606021511314 976.5625
uid://A002/X4122f3/Xf 25.008503883721417 976.5625
uid://A002/X40e374/Xba3 9.304839878070133 31250.0
uid://A002/X41065b/X4c7 9.304839878070133 31250.0
uid://A002/X41c27b/X53 18.743797131538678 244.140625
uid://A002/X41c27b/X9c5 19.686764207175454 976.5625
uid://A002/X49a70a/X5c0 18.196851590847114 976.5625
uid://A002/X49be16/X9c 25.831801758232036 976.5625
uid://A002/X32041d/X30d 63.2927288710603 976.5625
uid://A002/X321719/Xb2f 63.2927288710603 976.5625
uid://A002/X535168/X66e 24.32182781547307 122.0703125
uid://A002/X463144/X307 9.211094396403045 976.5625
uid://A002/X45f1dd/Xb62 24.32367138870529 976.5625
uid://A002/X3c9295/X2eb 28.08168666231953 122.0703125
uid://A002/X4ae797/X465 20.40753028149516 976.5625
uid://A002/X4ae797/X776 18.26115671529038 31250.0
uid://A002/X4b1170/X226 18.199004423460387 976.5625
uid://A002/X4b71b4/X616 9.225170869932734 976.5625
uid://A002/X4bb4dd/X5d 28.187919463093554 976.5625
uid://A002/X4ba082/X36f 18.475073313782993 976.5625
uid://A002/X4927e8/X455 27.945933282602184 122.0703125
uid://A002/X4927e8/X2da 27.223217550102447 976.5625
uid://A002/X494155/X4e9 60.67422937227887 976.5625
uid://A002/X535168/Xa18 18.367634769786847 31250.0
uid://A002/X533e2c/X39a 9.227517932572265 488.28125
uid://A002/X554543/X207 17.246726786839943 122.0703125
uid://A002/X5552a3/X159 18.261154068704695 31250.0
uid://A002/X51ee7e/X1c2 17.999271640183004 976.5625
uid://A002/X590461/X19b4 28.506787330332866 976.5625
uid://A002/X51d696/X315 18.15724030965132 244.140625
uid://A002/X5552a3/Xbd6 66.52247568095568 976.5625
uid://A002/X56a957/X25b 24.685812115343513 976.5625
uid://A002/X590461/X5f 18.367634769786847 31250.0
uid://A002/X58ec89/X25c 9.101977384357506 31250.0
uid://A002/X435875/X371 27.22558340534398 976.5625
uid://A002/X57d273/X230 68.55640305983162 31250.0
uid://A002/X54d35d/X3be 18.475073313782993 976.5625
uid://A002/X3fbe56/Xa24 18.629447200286393 488.28125
uid://A002/X590461/Xc05 17.632098642246557 244.140625
uid://A002/X54d35d/X868 18.596501378207382 976.5625
uid://A002/X2eea47/X1e0 8.96922913746689 488.28125
uid://A002/X656663/X12f2 17.622332326935986 488.28125
uid://A002/X307fb7/Xc2f 18.26115671529038 31250.0
uid://A002/X411025/X568 18.32460732984027 31250.0
uid://A002/X4b29af/X5c 58.32921518275137 488.28125
uid://A002/X5784d5/X15c 59.14996824757253 488.28125
uid://A002/X652932/X2438 18.17737904604604 488.28125
uid://A002/X41d520/X97a 18.3753227931704 976.5625
uid://A002/X2ec530/Xcc4 18.314242310362015 31250.0
uid://A002/X36a70f/X318 25.49757815503491 976.5625
uid://A002/X47ed8e/X533 66.91861169908184 976.5625
uid://A002/X436934/X48c 18.277632273147045 488.28125
uid://A002/X2cbea7/X5ce 18.63023420865862 976.5625
uid://A002/X2cbea7/X733 18.63023420865862 976.5625
uid://A002/X2cd715/X7a 18.63023420865862 976.5625
uid://A002/X2eaf7f/X167 18.63023420865862 976.5625
uid://A002/X2e7826/X95c 18.314242310362015 31250.0
uid://A002/X2e7826/X576 17.951914514695343 976.5625
uid://A002/X35edea/X228 27.9883110627152 488.28125
uid://A002/X331413/X491 27.66374168703955 244.140625
uid://A002/X2eea47/Xcc9 18.314242310362015 31250.0
uid://A002/X369097/X584 58.514879358600076 30.517578125
