10/11/2014 15:58:10	10/11/2014 15:58:14	uid___A002_X2c54bd_X52b
10/11/2014 15:58:14	10/11/2014 15:58:20	uid___A002_X31ab3d_X555
10/11/2014 15:58:20	10/11/2014 15:58:27	uid___A002_X45c06b_Xabf
10/11/2014 15:58:27	10/11/2014 15:58:30	uid___A002_X35edea_Xac4
10/11/2014 15:58:30	10/11/2014 15:58:33	uid___A002_X31d189_X2e1
10/11/2014 15:58:33	10/11/2014 15:58:43	uid___A002_X40d164_X4b5
10/11/2014 15:58:43	10/11/2014 15:58:46	uid___A002_X2c75ca_Xaf
10/11/2014 15:58:46	10/11/2014 15:58:48	uid___A002_X2c1301_Xa2
10/11/2014 15:58:48	10/11/2014 15:58:49	uid___A002_X41f8d2_Xbf5
10/11/2014 15:58:49	10/11/2014 15:58:53	uid___A002_X305ca0_X637
10/11/2014 15:58:53	10/11/2014 15:58:57	uid___A002_X2e7826_X7d4
10/11/2014 15:58:57	10/11/2014 15:59:01	uid___A002_X2e7826_X3e6
10/11/2014 15:59:01	10/11/2014 15:59:04	uid___A002_X2b8998_X65
10/11/2014 15:59:04	10/11/2014 15:59:10	uid___A002_X4320bd_Xc78
10/11/2014 15:59:10	10/11/2014 15:59:14	uid___A002_X307fb7_Xc2f
10/11/2014 15:59:14	10/11/2014 15:59:23	uid___A002_X4b6a0b_X12f
10/11/2014 15:59:23	10/11/2014 15:59:28	uid___A002_X2eea47_Xa3a
10/11/2014 15:59:28	10/11/2014 15:59:30	uid___A002_X2c75ca_X20f
10/11/2014 15:59:30	10/11/2014 15:59:41	uid___A002_X554543_X667
10/11/2014 15:59:41	10/11/2014 15:59:44	uid___A002_X2e7826_X576
10/11/2014 15:59:44	10/11/2014 15:59:57	uid___A002_X460fc9_X8cc
10/11/2014 15:59:57	10/11/2014 16:00:01	uid___A002_X3f99b1_X3ec
10/11/2014 16:00:01	10/11/2014 16:00:05	uid___A002_X43036c_X5f1
10/11/2014 16:00:05	10/11/2014 16:00:11	uid___A002_X41065b_X50
10/11/2014 16:00:11	10/11/2014 16:00:15	uid___A002_X31ab3d_X121
10/11/2014 16:00:15	10/11/2014 16:00:20	uid___A002_X32f196_X170
10/11/2014 16:00:20	10/11/2014 16:00:23	uid___A002_X3b3400_Xaf3
10/11/2014 16:00:23	10/11/2014 16:00:26	uid___A002_X2e7826_X6c8
10/11/2014 16:00:26	10/11/2014 16:00:30	uid___A002_X3fdb4f_X463
10/11/2014 16:00:30	10/11/2014 16:00:38	uid___A002_X47bd4d_X4c7
10/11/2014 16:00:38	10/11/2014 16:00:40	uid___A002_X2c54bd_X75
10/11/2014 16:00:40	10/11/2014 16:00:44	uid___A002_X2ce37c_X12
10/11/2014 16:00:44	10/11/2014 16:00:51	uid___A002_X40e374_Xa31
10/11/2014 16:00:51	10/11/2014 16:00:55	uid___A002_X36bf6c_X2d0
10/11/2014 16:00:55	10/11/2014 16:01:13	uid___A002_X46457e_X71
10/11/2014 16:01:13	10/11/2014 16:01:15	uid___A002_X3f8662_Xa8
10/11/2014 16:01:15	10/11/2014 16:01:21	uid___A002_X45e2af_X458
10/11/2014 16:01:21	10/11/2014 16:01:25	uid___A002_X2cd715_X7a
10/11/2014 16:01:25	10/11/2014 16:01:30	uid___A002_X3b55d6_X727
10/11/2014 16:01:30	10/11/2014 16:01:33	uid___A002_X2c75ca_X51c
10/11/2014 16:01:33	10/11/2014 16:01:38	uid___A002_X35edea_X441
10/11/2014 16:01:38	10/11/2014 16:01:47	uid___A002_X41f8d2_X50f
10/11/2014 16:01:47	10/11/2014 16:01:51	uid___A002_X2c75ca_X5ec
10/11/2014 16:01:51	10/11/2014 16:01:53	uid___A002_X4b29af_X818
10/11/2014 16:01:53	10/11/2014 16:01:58	uid___A002_X4b29af_X6ba
10/11/2014 16:01:58	10/11/2014 16:02:03	uid___A002_X3da7b0_X6c
10/11/2014 16:02:03	10/11/2014 16:02:10	uid___A002_X40e374_Xba3
10/11/2014 16:02:10	10/11/2014 16:02:12	uid___A002_X41e287_X1da
10/11/2014 16:02:12	10/11/2014 16:02:14	uid___A002_X3dc0e7_Xf32
10/11/2014 16:02:14	10/11/2014 16:02:18	uid___A002_X36d011_X29b
10/11/2014 16:02:18	10/11/2014 16:02:30	uid___A002_X2e7826_X95c
10/11/2014 16:02:30	10/11/2014 16:02:33	uid___A002_X2b8998_X2bf
10/11/2014 16:02:33	10/11/2014 16:02:37	uid___A002_X36e957_X501
10/11/2014 16:02:37	10/11/2014 16:02:41	uid___A002_X369097_X9f0
10/11/2014 16:02:41	10/11/2014 16:02:45	uid___A002_X2c75ca_X3ec
10/11/2014 16:02:45	10/11/2014 16:02:48	uid___A002_X2b8998_X192
10/11/2014 16:02:48	10/11/2014 16:02:50	uid___A002_X2c54bd_X1cc
10/11/2014 16:02:50	10/11/2014 16:02:56	uid___A002_X41d520_Xd2d
10/11/2014 16:02:56	10/11/2014 16:03:01	uid___A002_X305ca0_X4b9
10/11/2014 16:03:01	10/11/2014 16:03:06	uid___A002_X460fc9_X2ef
10/11/2014 16:03:06	10/11/2014 16:03:12	uid___A002_X3e007f_X53b
10/11/2014 16:03:12	10/11/2014 16:03:15	uid___A002_X2cbea7_X733
10/11/2014 16:03:15	10/11/2014 16:03:28	uid___A002_X4b71b4_X25a
10/11/2014 16:03:28	10/11/2014 16:03:41	uid___A002_X2ec530_Xf0b
10/11/2014 16:03:41	10/11/2014 16:03:44	uid___A002_X3ddbb0_X2e3
10/11/2014 16:03:44	10/11/2014 16:03:53	uid___A002_X49be16_X9c
10/11/2014 16:03:53	10/11/2014 16:03:57	uid___A002_X2cbea7_X5ce
10/11/2014 16:03:57	10/11/2014 16:04:00	uid___A002_X2c75ca_X7ce
10/11/2014 16:04:00	10/11/2014 16:04:10	uid___A002_X40d164_X32
10/11/2014 16:04:10	10/11/2014 16:04:16	uid___A002_X2e7826_Xbc4
10/11/2014 16:04:16	10/11/2014 16:04:19	uid___A002_X535168_Xd17
10/11/2014 16:04:19	10/11/2014 16:04:25	uid___A002_X494155_X674
10/11/2014 16:04:25	10/11/2014 16:04:32	uid___A002_X41d520_X97a
10/11/2014 16:04:32	10/11/2014 16:04:34	uid___A002_X2c54bd_X3cb
10/11/2014 16:04:34	10/11/2014 16:04:39	uid___A002_X331413_X60f
